PID,Date,Time,IP Address,Port,Username,Scenario,Details
1564664,May  9,04:46:40,167.94.145.102,44492,NULL,Connection closed,IP
1565246,May  9,04:51:01,NULL,NULL,NULL,Connection closed,IP
1566829,May  9,05:03:48,NULL,NULL,NULL,Connection closed,IP
1567685,May  9,05:10:28,NULL,NULL,NULL,Connection closed,IP
1567686,May  9,05:10:43,106.75.50.44,53808,NULL,Connection closed,IP
1569759,May  9,05:26:53,185.93.89.118,55158,NULL,NULL,NULL
1579657,May  9,06:45:14,NULL,NULL,NULL,Connection closed,IP
1579658,May  9,06:45:15,185.247.137.162,59487,NULL,Connection closed,IP
1581273,May  9,06:58:04,NULL,NULL,NULL,Connection closed,IP
1581274,May  9,06:58:15,NULL,NULL,NULL,Connection closed,IP
1581676,May  9,07:01:14,NULL,NULL,NULL,Connection closed,IP
1581899,May  9,07:02:59,NULL,NULL,NULL,banner line contains invalid characters,NULL
1581900,May  9,07:03:03,NULL,NULL,NULL,Connection closed,IP
1590294,May  9,08:09:48,45.79.181.94,51548,NULL,Connection closed,IP
1590296,May  9,08:09:50,45.79.181.94,24226,NULL,Connection closed,IP
1590298,May  9,08:09:51,45.79.181.94,24228,NULL,Connection closed,IP
1595416,May  9,08:50:47,NULL,NULL,NULL,banner line contains invalid characters,NULL
1602988,May  9,09:51:12,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1608455,May  9,10:34:54,NULL,NULL,NULL,banner line contains invalid characters,NULL
1608467,May  9,10:35:02,NULL,NULL,NULL,Connection reset,IP
1612914,May  9,11:10:31,NULL,NULL,NULL,banner line contains invalid characters,NULL
1612924,May  9,11:10:52,199.45.155.105,37856,NULL,Connection closed,IP
1620421,May  9,12:10:26,NULL,NULL,NULL,Connection closed,IP
1634313,May  9,14:01:30,167.94.145.109,38976,NULL,Connection closed,IP
1635600,May  9,14:11:32,45.79.181.223,53818,NULL,Connection closed,IP
1635602,May  9,14:11:33,45.79.181.223,53822,NULL,Connection closed,IP
1635615,May  9,14:11:35,45.79.181.223,53838,NULL,Connection closed,IP
1649841,May  9,16:04:37,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1663376,May  9,17:52:50,NULL,NULL,NULL,Connection closed,IP
1666964,May  9,18:21:34,NULL,NULL,NULL,Connection reset,IP
1668075,May  9,18:30:21,92.204.144.151,39666,NULL,Connection closed,IP
1674684,May  9,19:23:16,185.242.226.20,54806,NULL,Connection closed,IP
1680383,May  9,20:08:30,172.104.11.51,28318,NULL,Connection closed,IP
1680385,May  9,20:08:32,172.104.11.51,28324,NULL,Connection closed,IP
1680396,May  9,20:08:34,172.104.11.51,28328,NULL,Connection closed,IP
1687218,May  9,21:02:35,NULL,NULL,NULL,Connection closed,IP
1689250,May  9,21:18:47,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1692100,May  9,21:41:31,185.93.89.118,42354,NULL,NULL,NULL
1696641,May  9,22:17:45,NULL,NULL,root,Connection closed,IP
1696643,May  9,22:17:47,NULL,NULL,root,Connection closed,IP
1696656,May  9,22:17:49,NULL,NULL,root,Connection closed,IP
1696658,May  9,22:17:52,NULL,NULL,root,Connection closed,IP
1696671,May  9,22:17:55,NULL,NULL,root,Connection closed,IP
1696673,May  9,22:17:58,NULL,NULL,root,Connection closed,IP
1696684,May  9,22:18:00,NULL,NULL,root,Connection closed,IP
1696708,May  9,22:18:12,NULL,NULL,root,Connection closed,IP
1696710,May  9,22:18:15,NULL,NULL,root,Connection closed,IP
1696723,May  9,22:18:17,NULL,NULL,root,Connection closed,IP
1696725,May  9,22:18:21,NULL,NULL,root,Connection closed,IP
1696736,May  9,22:18:24,NULL,NULL,root,Connection closed,IP
1698825,May  9,22:34:59,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
1703057,May  9,23:08:43,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1703058,May  9,23:08:43,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1706306,May  9,23:34:41,64.62.197.102,12545,64.62.197.102,Connection closed,invalid user
1710809,May 10,00:10:23,161.35.87.217,43798,NULL,Connection closed,IP
1717202,May 10,01:01:19,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1717203,May 10,01:01:19,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1725546,May 10,02:07:46,172.104.11.34,57382,NULL,Connection closed,IP
1725548,May 10,02:07:48,172.104.11.34,57388,NULL,Connection closed,IP
1725560,May 10,02:07:51,172.104.11.34,57396,NULL,Connection closed,IP
1748774,May 10,05:12:51,NULL,NULL,NULL,banner line contains invalid characters,NULL
1755300,May 10,06:04:42,NULL,NULL,NULL,Connection closed,IP
1755708,May 10,06:07:58,NULL,NULL,NULL,Connection closed,IP
1770972,May 10,08:08:58,45.79.181.94,51992,NULL,Connection closed,IP
1770974,May 10,08:09:00,45.79.181.94,46668,NULL,Connection closed,IP
1770987,May 10,08:09:01,45.79.181.94,46670,NULL,Connection closed,IP
1774976,May 10,08:40:32,NULL,NULL,NULL,Connection closed,IP
1779196,May 10,09:14:18,NULL,NULL,NULL,Connection closed,IP
1779579,May 10,09:17:20,NULL,NULL,NULL,Connection reset,IP
1782198,May 10,09:38:20,NULL,NULL,NULL,Connection closed,IP
1792443,May 10,11:00:05,NULL,NULL,NULL,Connection closed,IP
1796238,May 10,11:30:33,NULL,NULL,NULL,Connection closed,IP
1804427,May 10,12:35:51,NULL,NULL,NULL,Connection closed,IP
1815989,May 10,14:08:11,172.236.228.229,19260,NULL,Connection closed,IP
1815991,May 10,14:08:13,172.236.228.229,19270,NULL,Connection closed,IP
1815993,May 10,14:08:15,172.236.228.229,19280,NULL,Connection closed,IP
1820048,May 10,14:40:36,NULL,NULL,NULL,Connection closed,IP
1820082,May 10,14:40:50,NULL,NULL,NULL,Connection closed,IP
1826604,May 10,15:32:42,167.94.145.104,55486,NULL,Connection closed,IP
1835185,May 10,16:40:50,NULL,NULL,NULL,Connection closed,IP
1838209,May 10,17:04:56,NULL,NULL,NULL,Connection closed,IP
1844068,May 10,17:51:48,NULL,NULL,NULL,banner line contains invalid characters,NULL
1848604,May 10,18:28:02,NULL,NULL,NULL,Connection closed,IP
1851623,May 10,18:52:07,NULL,NULL,NULL,Connection closed,IP
1854089,May 10,19:11:40,NULL,NULL,NULL,Connection closed,IP
1854680,May 10,19:16:22,NULL,NULL,NULL,Connection closed,IP
1861152,May 10,20:07:59,172.236.228.208,54508,NULL,Connection closed,IP
1861154,May 10,20:08:01,172.236.228.208,61072,NULL,Connection closed,IP
1861167,May 10,20:08:03,172.236.228.208,61078,NULL,Connection closed,IP
1863840,May 10,20:29:21,NULL,NULL,NULL,Connection closed,IP
1864147,May 10,20:32:04,162.142.125.115,45712,NULL,Connection closed,IP
1865827,May 10,20:45:17,NULL,NULL,NULL,Connection reset,IP
1865850,May 10,20:45:30,NULL,NULL,NULL,Connection closed,IP
1865929,May 10,20:45:55,NULL,NULL,NULL,banner line contains invalid characters,NULL
1865930,May 10,20:45:59,NULL,NULL,NULL,Connection closed,IP
1866832,May 10,20:53:12,51.91.174.246,35453,NULL,Connection closed,IP
1866867,May 10,20:53:26,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
1866933,May 10,20:54:05,137.74.181.249,55419,NULL,Connection closed,IP
1869797,May 10,21:16:49,NULL,NULL,NULL,Connection closed,IP
1874980,May 10,21:57:56,NULL,NULL,NULL,Connection closed,IP
1875631,May 10,22:03:07,NULL,NULL,NULL,banner line contains invalid characters,NULL
1875752,May 10,22:04:05,NULL,NULL,NULL,Connection closed,IP
1882081,May 10,22:54:41,64.62.197.181,19897,64.62.197.181,Connection closed,invalid user
3554439,Apr 27,00:02:11,NULL,NULL,root,Connection closed,IP
3560166,Apr 27,00:47:45,NULL,NULL,NULL,banner line contains invalid characters,NULL
3560167,Apr 27,00:47:47,NULL,NULL,NULL,banner line contains invalid characters,NULL
3560168,Apr 27,00:47:47,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3560200,Apr 27,00:47:59,101.251.238.60,57192,NULL,Connection closed,IP
3560202,Apr 27,00:48:03,101.251.238.60,57202,NULL,Connection closed,IP
3560248,Apr 27,00:48:21,101.251.238.60,59896,NULL,DH GEX group out of range,NULL
3560250,Apr 27,00:48:22,NULL,NULL,NULL,banner line contains invalid characters,NULL
3560251,Apr 27,00:48:22,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3560252,Apr 27,00:48:23,101.251.238.60,59912,NULL,DH GEX group out of range,NULL
3560254,Apr 27,00:48:24,101.251.238.60,59928,NULL,DH GEX group out of range,NULL
3560301,Apr 27,00:48:43,101.251.238.60,45422,NULL,Connection closed,IP
3560303,Apr 27,00:48:46,101.251.238.60,45428,NULL,DH GEX group out of range,NULL
3560316,Apr 27,00:48:48,101.251.238.60,51734,NULL,DH GEX group out of range,NULL
3560351,Apr 27,00:49:04,101.251.238.60,35372,NULL,DH GEX group out of range,NULL
3560353,Apr 27,00:49:05,101.251.238.60,35388,NULL,DH GEX group out of range,NULL
3560389,Apr 27,00:49:18,101.251.238.60,60236,NULL,DH GEX group out of range,NULL
3560391,Apr 27,00:49:21,101.251.238.60,60250,NULL,DH GEX group out of range,NULL
3560425,Apr 27,00:49:38,101.251.238.60,59694,NULL,DH GEX group out of range,NULL
3560449,Apr 27,00:49:46,101.251.238.60,50626,NULL,DH GEX group out of range,NULL
3560451,Apr 27,00:49:48,101.251.238.60,50634,NULL,Connection closed,IP
3560507,Apr 27,00:50:12,101.251.238.60,34902,NULL,DH GEX group out of range,NULL
3560553,Apr 27,00:50:36,101.251.238.60,43392,NULL,Connection closed,IP
3567962,Apr 27,01:49:25,NULL,NULL,NULL,Connection closed,IP
3568456,Apr 27,01:53:25,98.80.4.49,39154,98.80.4.49,Connection closed,invalid user
3570866,Apr 27,02:12:34,NULL,NULL,NULL,banner line contains invalid characters,NULL
3570911,Apr 27,02:12:54,NULL,NULL,NULL,client sent invalid protocol identifier,GET http://passport.baidu.com/ HTTP/1.1
3570945,Apr 27,02:13:10,NULL,NULL,NULL,banner line contains invalid characters,NULL
3582100,Apr 27,03:41:38,NULL,NULL,NULL,Connection closed,IP
3582254,Apr 27,03:42:52,NULL,NULL,NULL,Connection closed,IP
3599532,Apr 27,06:00:39,NULL,NULL,NULL,Connection closed,IP
3600193,Apr 27,06:05:56,NULL,NULL,NULL,Connection closed,IP
3601218,Apr 27,06:14:10,NULL,NULL,NULL,Connection closed,IP
3601575,Apr 27,06:16:57,NULL,NULL,NULL,banner line contains invalid characters,NULL
3609289,Apr 27,07:18:00,NULL,NULL,NULL,Connection closed,IP
3611142,Apr 27,07:32:46,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
3611473,Apr 27,07:35:25,NULL,NULL,NULL,Connection closed,IP
3623276,Apr 27,09:09:43,NULL,NULL,NULL,Connection closed,IP
3637779,Apr 27,11:05:41,NULL,NULL,NULL,banner line contains invalid characters,NULL
3638438,Apr 27,11:11:02,NULL,NULL,NULL,Connection closed,IP
3647446,Apr 27,12:23:04,NULL,NULL,NULL,Connection closed,IP
3649052,Apr 27,12:36:00,NULL,NULL,NULL,banner line contains invalid characters,NULL
3649750,Apr 27,12:41:34,NULL,NULL,NULL,Connection closed,IP
3655244,Apr 27,13:25:27,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
3658902,Apr 27,13:54:46,NULL,NULL,NULL,Connection closed,IP
3659423,Apr 27,13:58:56,NULL,NULL,NULL,banner line contains invalid characters,NULL
3660559,Apr 27,14:07:58,172.104.11.4,5586,NULL,Connection closed,IP
3660570,Apr 27,14:08:00,172.104.11.4,5598,NULL,Connection closed,IP
3660572,Apr 27,14:08:01,172.104.11.4,5608,NULL,Connection closed,IP
3663752,Apr 27,14:33:25,NULL,NULL,NULL,Connection closed,IP
3678477,Apr 27,16:30:40,NULL,NULL,NULL,Connection closed,IP
3678489,Apr 27,16:30:42,185.247.137.246,33095,NULL,Connection closed,IP
3690789,Apr 27,18:09:04,NULL,NULL,NULL,Connection closed,IP
3691557,Apr 27,18:15:17,65.49.1.144,54699,65.49.1.144,Connection closed,invalid user
3691631,Apr 27,18:15:50,NULL,NULL,NULL,banner line contains invalid characters,NULL
3692729,Apr 27,18:25:37,NULL,NULL,NULL,banner line contains invalid characters,NULL
3694882,Apr 27,18:41:40,NULL,NULL,NULL,Connection closed,IP
3698090,Apr 27,19:07:26,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3699754,Apr 27,19:20:53,20.168.122.3,33244,NULL,Connection closed,IP
3700007,Apr 27,19:22:43,NULL,NULL,NULL,Connection closed,IP
3705860,Apr 27,20:09:34,NULL,NULL,NULL,Connection closed,IP
3707613,Apr 27,20:23:30,NULL,NULL,NULL,Connection closed,IP
3708648,Apr 27,20:31:22,NULL,NULL,NULL,Connection closed,IP
3713041,Apr 27,21:06:32,NULL,NULL,root,Connection closed,IP
3713043,Apr 27,21:06:34,NULL,NULL,root,Connection closed,IP
3713054,Apr 27,21:06:35,NULL,NULL,root,Connection closed,IP
3713056,Apr 27,21:06:37,NULL,NULL,root,Connection closed,IP
3713058,Apr 27,21:06:40,NULL,NULL,root,Connection closed,IP
3713070,Apr 27,21:06:41,NULL,NULL,root,Connection closed,IP
3713072,Apr 27,21:06:45,NULL,NULL,root,Connection closed,IP
3713085,Apr 27,21:06:47,NULL,NULL,root,Connection closed,IP
3713087,Apr 27,21:06:49,NULL,NULL,root,Connection closed,IP
3713100,Apr 27,21:06:50,NULL,NULL,root,Connection closed,IP
3713102,Apr 27,21:06:52,NULL,NULL,root,Connection closed,IP
3713104,Apr 27,21:06:54,NULL,NULL,root,Connection closed,IP
3713117,Apr 27,21:06:56,NULL,NULL,root,Connection closed,IP
3717242,Apr 27,21:39:48,NULL,NULL,NULL,client sent invalid protocol identifier,GET http://passport.baidu.com/ HTTP/1.1
3717243,Apr 27,21:39:48,NULL,NULL,NULL,banner line contains invalid characters,NULL
3717264,Apr 27,21:40:00,NULL,NULL,NULL,banner line contains invalid characters,NULL
3720025,Apr 27,22:02:06,NULL,NULL,NULL,banner line contains invalid characters,NULL
3722139,Apr 27,22:18:56,NULL,NULL,NULL,Connection closed,IP
3727849,Apr 27,23:04:45,167.94.138.171,42926,NULL,Connection closed,IP
3737726,Apr 28,00:22:48,NULL,NULL,NULL,Connection closed,IP
3758754,Apr 28,03:10:36,NULL,NULL,NULL,banner line contains invalid characters,NULL
3764169,Apr 28,03:53:40,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3773327,Apr 28,05:06:45,NULL,NULL,NULL,Connection closed,IP
3774679,Apr 28,05:17:28,NULL,NULL,NULL,Connection closed,IP
3781131,Apr 28,06:08:51,NULL,NULL,NULL,Connection closed,IP
3785240,Apr 28,06:41:07,NULL,NULL,NULL,Connection closed,IP
3791451,Apr 28,07:30:41,NULL,NULL,NULL,Connection closed,IP
3796330,Apr 28,08:09:41,45.79.181.223,35994,NULL,Connection closed,IP
3796332,Apr 28,08:09:42,45.79.181.223,36000,NULL,Connection closed,IP
3796334,Apr 28,08:09:43,45.79.181.223,36012,NULL,Connection closed,IP
3798633,Apr 28,08:28:02,NULL,NULL,NULL,Connection closed,IP
3799259,Apr 28,08:33:04,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3799260,Apr 28,08:33:04,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3800623,Apr 28,08:44:05,NULL,NULL,NULL,Connection closed,IP
3801285,Apr 28,08:49:21,NULL,NULL,NULL,Connection reset,IP
3803766,Apr 28,09:09:23,167.94.145.100,37204,NULL,Connection closed,IP
3818760,Apr 28,11:09:02,146.190.241.65,60784,NULL,Connection closed,IP
3820363,Apr 28,11:21:36,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3822813,Apr 28,11:41:23,71.6.232.20,34102,NULL,Connection closed,IP
3823493,Apr 28,11:46:42,NULL,NULL,NULL,banner line contains invalid characters,NULL
3841509,Apr 28,14:10:13,172.104.11.34,42724,NULL,Connection closed,IP
3841522,Apr 28,14:10:15,172.104.11.34,42740,NULL,Connection closed,IP
3841524,Apr 28,14:10:18,172.104.11.34,42744,NULL,Connection closed,IP
3844387,Apr 28,14:33:10,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
3844573,Apr 28,14:34:42,NULL,NULL,NULL,Connection closed,IP
3849887,Apr 28,15:17:13,217.198.6.43,45978,217.198.6.43,Connection closed,invalid user
3856736,Apr 28,16:12:02,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3856737,Apr 28,16:12:02,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3857853,Apr 28,16:21:01,NULL,NULL,NULL,Connection closed,IP
3860314,Apr 28,16:40:38,NULL,NULL,NULL,Connection closed,IP
3863388,Apr 28,17:05:08,NULL,NULL,NULL,Connection closed,IP
3875278,Apr 28,18:40:20,NULL,NULL,NULL,Connection closed,IP
3876420,Apr 28,18:49:29,NULL,NULL,NULL,banner line contains invalid characters,NULL
3878238,Apr 28,19:03:55,NULL,NULL,NULL,Connection closed,IP
3880063,Apr 28,19:18:27,NULL,NULL,NULL,Connection closed,IP
3883998,Apr 28,19:50:03,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
3884327,Apr 28,19:52:36,NULL,NULL,NULL,banner line contains invalid characters,NULL
3886262,Apr 28,20:08:09,192.155.90.220,64806,NULL,Connection closed,IP
3886264,Apr 28,20:08:10,192.155.90.220,64818,NULL,Connection closed,IP
3886277,Apr 28,20:08:12,192.155.90.220,64826,NULL,Connection closed,IP
3903896,Apr 28,22:28:55,NULL,NULL,NULL,Connection closed,IP
3915196,Apr 28,23:58:54,164.90.226.235,49710,NULL,Connection closed,IP
3917528,Apr 29,00:16:54,NULL,NULL,NULL,banner line contains invalid characters,NULL
3926660,Apr 29,01:29:36,64.62.156.61,54417,64.62.156.61,Connection closed,invalid user
3933246,Apr 29,02:22:07,172.104.11.4,21012,NULL,Connection closed,IP
3933258,Apr 29,02:22:09,172.104.11.4,21016,NULL,Connection closed,IP
3933261,Apr 29,02:22:12,172.104.11.4,21024,NULL,Connection closed,IP
3933351,Apr 29,02:22:49,NULL,NULL,NULL,Connection closed,IP
3946765,Apr 29,04:09:43,NULL,NULL,NULL,Connection closed,IP
3954669,Apr 29,05:12:43,NULL,NULL,NULL,Connection closed,IP
3971062,Apr 29,07:22:32,NULL,NULL,NULL,Connection closed,IP
3979310,Apr 29,08:28:23,NULL,NULL,NULL,Connection closed,IP
3981136,Apr 29,08:42:59,NULL,NULL,NULL,Connection closed,IP
3995950,Apr 29,10:41:42,185.180.141.45,37533,NULL,Connection closed,IP
3998665,Apr 29,11:03:08,NULL,NULL,NULL,client sent invalid protocol identifier,NULL
3998677,Apr 29,11:03:15,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3998982,Apr 29,11:05:40,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
3999049,Apr 29,11:06:12,NULL,NULL,NULL,banner line contains invalid characters,NULL
4017548,Apr 29,13:33:53,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
4022378,Apr 29,14:12:49,192.155.90.118,36924,NULL,Connection closed,IP
4022391,Apr 29,14:12:51,192.155.90.118,36940,NULL,Connection closed,IP
4022393,Apr 29,14:12:53,192.155.90.118,29090,NULL,Connection closed,IP
4025733,Apr 29,14:39:40,NULL,NULL,NULL,banner line contains invalid characters,NULL
4025754,Apr 29,14:39:47,NULL,NULL,NULL,banner line contains invalid characters,NULL
4025821,Apr 29,14:40:17,NULL,NULL,NULL,client sent invalid protocol identifier,GET http://passport.baidu.com/ HTTP/1.1
4032878,Apr 29,15:36:45,NULL,NULL,NULL,banner line contains invalid characters,NULL
4039699,Apr 29,16:31:37,NULL,NULL,NULL,Connection closed,IP
4044856,Apr 29,17:13:02,NULL,NULL,NULL,Connection closed,IP
4049846,Apr 29,17:52:55,NULL,NULL,NULL,Connection closed,IP
4051551,Apr 29,18:06:28,NULL,NULL,NULL,Connection closed,IP
4052390,Apr 29,18:13:14,NULL,NULL,NULL,Connection closed,IP
4052432,Apr 29,18:13:35,NULL,NULL,NULL,Connection closed,IP
4052627,Apr 29,18:15:03,NULL,NULL,NULL,Connection closed,IP
4066914,Apr 29,20:08:41,45.79.181.104,43734,NULL,Connection closed,IP
4066927,Apr 29,20:08:42,45.79.181.104,43738,NULL,Connection closed,IP
4066929,Apr 29,20:08:44,45.79.181.104,43754,NULL,Connection closed,IP
4069723,Apr 29,20:31:02,NULL,NULL,NULL,Connection closed,IP
4071936,Apr 29,20:48:53,NULL,NULL,NULL,Connection closed,IP
4073341,Apr 29,21:00:07,NULL,NULL,NULL,Connection closed,IP
4073355,Apr 29,21:00:08,NULL,NULL,NULL,Connection closed,IP
4073353,Apr 29,21:00:16,154.212.141.205,48190,NULL,Connection closed,IP
4073356,Apr 29,21:00:18,154.212.141.215,63086,NULL,Connection closed,IP
4075259,Apr 29,21:15:20,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
4079478,Apr 29,21:49:01,NULL,NULL,NULL,banner line contains invalid characters,NULL
4080245,Apr 29,21:55:12,NULL,NULL,NULL,banner line contains invalid characters,NULL
4080964,Apr 29,22:01:08,167.94.138.53,53608,NULL,Connection closed,IP
4083595,Apr 29,22:22:02,NULL,NULL,NULL,Connection closed,IP
4083596,Apr 29,22:22:22,138.68.87.25,13394,NULL,Connection closed,IP
4085143,Apr 29,22:34:26,NULL,NULL,root,Connection closed,IP
4085156,Apr 29,22:34:27,NULL,NULL,root,Connection closed,IP
4085159,Apr 29,22:34:27,NULL,NULL,root,Connection closed,IP
4085161,Apr 29,22:34:28,NULL,NULL,root,Connection closed,IP
4085163,Apr 29,22:34:29,NULL,NULL,root,Connection closed,IP
4085165,Apr 29,22:34:30,NULL,NULL,root,Connection closed,IP
4085167,Apr 29,22:34:30,NULL,NULL,root,Connection closed,IP
4085169,Apr 29,22:34:31,NULL,NULL,root,Connection closed,IP
4085181,Apr 29,22:34:32,NULL,NULL,root,Connection closed,IP
4085183,Apr 29,22:34:33,NULL,NULL,root,Connection closed,IP
4085185,Apr 29,22:34:34,NULL,NULL,root,Connection closed,IP
4085187,Apr 29,22:34:34,NULL,NULL,root,Connection closed,IP
4085189,Apr 29,22:34:35,NULL,NULL,root,Connection closed,IP
4093575,Apr 29,23:41:41,NULL,NULL,NULL,Connection closed,IP
4094982,Apr 29,23:52:56,NULL,NULL,NULL,Connection closed,IP
4103032,Apr 30,00:56:42,209.38.206.136,27583,NULL,Connection reset,IP
4104384,Apr 30,01:07:29,NULL,NULL,NULL,Connection closed,IP
4106578,Apr 30,01:25:06,64.62.156.160,38463,64.62.156.160,Connection closed,invalid user
4112828,Apr 30,02:14:42,192.155.90.220,49468,NULL,Connection closed,IP
4112830,Apr 30,02:14:43,192.155.90.220,49476,NULL,Connection closed,IP
4112832,Apr 30,02:14:45,192.155.90.220,49478,NULL,Connection closed,IP
4113449,Apr 30,02:19:34,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
4119441,Apr 30,03:07:29,167.94.138.44,40864,NULL,Connection closed,IP
4119773,Apr 30,03:10:11,NULL,NULL,NULL,banner line contains invalid characters,NULL
4119796,Apr 30,03:10:17,NULL,NULL,NULL,Connection reset,IP
4124809,Apr 30,03:50:03,NULL,NULL,NULL,Connection closed,IP
4126269,Apr 30,04:01:43,60.205.122.184,57154,60.205.122.184,Connection closed,invalid user
4136738,Apr 30,05:24:59,NULL,NULL,NULL,banner line contains invalid characters,NULL
4150608,Apr 30,07:14:49,NULL,NULL,NULL,Connection closed,IP
4151284,Apr 30,07:20:08,NULL,NULL,NULL,Connection closed,IP
4153216,Apr 30,07:35:35,NULL,NULL,NULL,Connection closed,IP
4157351,Apr 30,08:08:35,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
4157666,Apr 30,08:11:12,172.104.11.34,36880,NULL,Connection closed,IP
4157677,Apr 30,08:11:14,172.104.11.34,36888,NULL,Connection closed,IP
4157679,Apr 30,08:11:16,172.104.11.34,36904,NULL,Connection closed,IP
4161763,Apr 30,08:43:51,NULL,NULL,NULL,Connection closed,IP
4162317,Apr 30,08:48:20,NULL,NULL,NULL,Connection closed,IP
4162328,Apr 30,08:48:21,185.247.137.217,40813,NULL,Connection closed,IP
4163543,Apr 30,08:58:13,NULL,NULL,NULL,Connection closed,IP
4187897,Apr 30,12:13:31,NULL,NULL,NULL,Connection closed,IP
4188214,Apr 30,12:15:57,NULL,NULL,NULL,banner line contains invalid characters,NULL
4188215,Apr 30,12:16:16,NULL,NULL,NULL,Connection closed,IP
4188249,Apr 30,12:16:17,101.36.97.80,54002,NULL,Connection closed,IP
4188262,Apr 30,12:16:18,NULL,NULL,NULL,NULL,NULL
7270,Apr 30,14:00:23,NULL,NULL,NULL,Connection closed,IP
8626,Apr 30,14:11:20,172.236.228.202,46944,NULL,Connection closed,IP
8628,Apr 30,14:11:21,172.236.228.202,46952,NULL,Connection closed,IP
8640,Apr 30,14:11:23,172.236.228.202,46960,NULL,Connection closed,IP
12082,Apr 30,14:38:57,NULL,NULL,NULL,Connection closed,IP
33567,Apr 30,17:31:12,NULL,NULL,NULL,Connection closed,IP
35582,Apr 30,17:47:17,NULL,NULL,NULL,Connection closed,IP
43138,Apr 30,18:48:10,NULL,NULL,NULL,banner line contains invalid characters,NULL
43777,Apr 30,18:53:20,NULL,NULL,NULL,client sent invalid protocol identifier,GET http://passport.baidu.com/ HTTP/1.1
43809,Apr 30,18:53:35,NULL,NULL,NULL,banner line contains invalid characters,NULL
43843,Apr 30,18:53:50,NULL,NULL,NULL,banner line contains invalid characters,NULL
43986,Apr 30,18:54:56,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
46568,Apr 30,19:15:38,NULL,NULL,NULL,banner line contains invalid characters,NULL
53134,Apr 30,20:08:19,45.79.181.94,21436,NULL,Connection closed,IP
53136,Apr 30,20:08:21,45.79.181.94,21440,NULL,Connection closed,IP
53149,Apr 30,20:08:23,45.79.181.94,21454,NULL,Connection closed,IP
76910,Apr 30,23:18:42,NULL,NULL,NULL,Connection reset,IP
76911,Apr 30,23:18:53,NULL,NULL,NULL,Connection closed,IP
76975,Apr 30,23:19:11,NULL,NULL,NULL,banner line contains invalid characters,NULL
76976,Apr 30,23:19:14,NULL,NULL,NULL,Connection closed,IP
77723,Apr 30,23:25:12,91.196.152.89,51797,NULL,Connection closed,IP
77835,Apr 30,23:26:01,NULL,NULL,NULL,Connection closed,IP
77880,Apr 30,23:26:21,91.196.152.123,47457,NULL,Connection closed,IP
78487,Apr 30,23:31:13,NULL,NULL,NULL,Connection closed,IP
88562,May  1,00:51:03,NULL,NULL,NULL,Connection closed,IP
89797,May  1,01:00:58,64.62.156.66,17239,64.62.156.66,Connection closed,invalid user
91473,May  1,01:14:14,NULL,NULL,NULL,Connection closed,IP
96369,May  1,01:53:18,NULL,NULL,NULL,Connection closed,IP
98422,May  1,02:09:47,172.236.228.245,63142,NULL,Connection closed,IP
98434,May  1,02:09:49,172.236.228.245,63158,NULL,Connection closed,IP
98436,May  1,02:09:50,172.236.228.245,63166,NULL,Connection closed,IP
143456,May  1,08:08:36,172.236.228.224,32398,NULL,Connection closed,IP
