PID,Date,Time,IP Address,Port,Username,Scenario,Details
2171139,May 12,13:15:06,NULL,NULL,NULL,Connection closed,IP
2171730,May 12,13:19:49,NULL,NULL,NULL,banner line contains invalid characters,NULL
2173724,May 12,13:35:51,NULL,NULL,NULL,Connection closed,IP
2175171,May 12,13:47:26,71.6.232.24,47876,NULL,Connection closed,IP
2178144,May 12,14:10:57,172.236.228.198,15388,NULL,Connection closed,IP
2178146,May 12,14:10:59,172.236.228.198,15410,NULL,Connection closed,IP
2178148,May 12,14:11:01,172.236.228.198,15432,NULL,Connection closed,IP
2182324,May 12,14:44:30,NULL,NULL,NULL,banner line contains invalid characters,NULL
2193285,May 12,16:11:43,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22
2218591,May 12,19:34:07,NULL,NULL,NULL,banner line contains invalid characters,NULL
2218603,May 12,19:34:10,NULL,NULL,NULL,Connection closed,IP
2223101,May 12,20:10:01,65.49.1.113,46751,65.49.1.113,Connection closed,invalid user
2224674,May 12,20:22:33,NULL,NULL,NULL,Connection closed,IP
2229988,May 12,21:05:21,162.142.125.216,58616,NULL,Connection closed,IP
2233595,May 12,21:33:46,NULL,NULL,NULL,Connection closed,IP
2237581,May 12,22:05:33,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1
2241428,May 12,22:35:17,NULL,NULL,NULL,Connection closed,IP
3891,May 12,23:07:43,NULL,NULL,NULL,banner line contains invalid characters,NULL
9425,May 12,23:50:12,NULL,NULL,NULL,banner line contains invalid characters,NULL
27253,May 13,02:10:13,172.105.128.11,56212,NULL,Connection closed,IP
27255,May 13,02:10:14,172.105.128.11,56220,NULL,Connection closed,IP
27257,May 13,02:10:15,172.105.128.11,61632,NULL,Connection closed,IP
29769,May 13,02:30:07,NULL,NULL,NULL,Connection closed,IP
50981,May 13,05:13:54,NULL,NULL,NULL,Connection closed,IP
52576,May 13,05:26:23,NULL,NULL,NULL,Connection closed,IP
74673,May 13,06:01:22,112.96.91.91,NULL,NULL,NULL,NULL
74705,May 13,06:01:36,112.96.91.91,NULL,NULL,NULL,NULL
81383,May 13,06:07:49,162.142.125.203,38340,NULL,Connection closed,IP
99066,May 13,06:24:02,106.15.203.206,55750,NULL,Connection closed,IP
114515,May 13,06:37:17,NULL,NULL,NULL,Connection closed,IP
217351,May 13,08:10:25,172.105.128.11,53730,NULL,Connection closed,IP
217364,May 13,08:10:28,172.105.128.11,53756,NULL,Connection closed,IP
311147,May 13,09:35:24,88.99.175.76,39438,NULL,Connection closed,IP
