PID,Date,Time,IP Address,Port,Username,Scenario,Details,Source
1062930,Apr 13,05:35:35,139.19.117.131,60488.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1077749,Apr 13,07:33:15,139.19.117.131,60702.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1082205,Apr 13,08:08:47,45.79.172.21,22386.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
1082207,Apr 13,08:08:48,45.79.172.21,26442.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
1082209,Apr 13,08:08:49,45.79.172.21,26456.0,NULL,Connection closed,IP,"United States, New Jersey, Cedar Knolls, Akamai Technologies, Inc."
1084970,Apr 13,08:30:48,139.19.117.131,38762.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1086765,Apr 13,08:45:11,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1087994,Apr 13,08:55:09,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1088555,Apr 13,08:59:30,176.178.185.85,55399.0,NL5xUDpV2xRa,Dictionary Attack,NULL,"France, Île-de-France, Paris, BOUYGUES Telecom"
1092088,Apr 13,09:27:52,206.168.34.82,33158.0,NULL,Connection closed,IP,"United States, Illinois, Chicago, Censys, Inc."
1092491,Apr 13,09:30:50,139.19.117.131,37262.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1095602,Apr 13,09:55:48,NULL,NULL,NULL,Connection closed,IP,NULL
1099579,Apr 13,10:27:37,NULL,NULL,NULL,Connection closed,IP,NULL
1099602,Apr 13,10:27:48,NULL,NULL,NULL,Connection closed,IP,NULL
1099993,Apr 13,10:30:51,139.19.117.131,46486.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1107486,Apr 13,11:30:51,139.19.117.131,39716.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1110034,Apr 13,11:51:08,NULL,NULL,NULL,Connection closed,IP,NULL
1115016,Apr 13,12:30:52,139.19.117.131,37178.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1116794,Apr 13,12:45:04,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1122514,Apr 13,13:30:53,139.19.117.131,45330.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1135719,Apr 13,15:16:07,NULL,NULL,NULL,banner line contains invalid characters,NULL,NULL
1137493,Apr 13,15:30:15,139.19.117.131,57700.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1143366,Apr 13,16:17:05,NULL,NULL,NULL,Connection closed,IP,NULL
1143529,Apr 13,16:18:25,NULL,NULL,NULL,Connection closed,IP,NULL
1144676,Apr 13,16:27:37,139.19.117.131,41148.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1150190,Apr 13,17:11:48,NULL,NULL,NULL,Connection closed,IP,NULL
1151188,Apr 13,17:19:45,NULL,NULL,NULL,Connection closed,IP,NULL
1152169,Apr 13,17:27:36,139.19.117.131,44884.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1159577,Apr 13,18:26:33,NULL,NULL,NULL,client sent invalid protocol identifier,MGLNDD_120.26.163.214_22,NULL
1159709,Apr 13,18:27:38,139.19.117.131,42594.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1167216,Apr 13,19:27:48,139.19.117.131,54494.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1169218,Apr 13,19:43:47,NULL,NULL,NULL,Connection closed,IP,NULL
1173748,Apr 13,20:20:01,66.240.192.85,51415.0,NULL,Connection closed,IP,"United States, Arizona, Phoenix, CariNet, Inc."
1174313,Apr 13,20:24:29,NULL,NULL,NULL,Connection closed,IP,NULL
1174708,Apr 13,20:27:41,139.19.117.131,36008.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1175853,Apr 13,20:36:48,NULL,NULL,NULL,Connection closed,IP,NULL
1176515,Apr 13,20:42:05,NULL,NULL,NULL,Connection closed,IP,NULL
1177039,Apr 13,20:46:13,NULL,NULL,NULL,client sent invalid protocol identifier,GET / HTTP/1.1,NULL
1182711,Apr 13,21:31:34,NULL,NULL,NULL,Connection closed,IP,NULL
1182720,Apr 13,21:31:39,165.210.33.44,37390.0,root,Dictionary Attack,NULL,"Cameroon, South, Lolodorf, Cameroon Telecommunications Network"
1187393,Apr 13,22:09:05,NULL,NULL,NULL,Connection closed,IP,NULL
1188091,Apr 13,22:14:34,NULL,NULL,NULL,Connection closed,IP,NULL
1189935,Apr 13,22:29:22,139.19.117.131,45176.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1193809,Apr 13,23:00:14,65.49.1.235,32207.0,NULL,Connection closed,invalid user,"United States, California, Pleasanton, Hurricane Electric LLC"
1195966,Apr 13,23:17:18,NULL,NULL,NULL,Connection closed,IP,NULL
1196870,Apr 13,23:24:34,139.19.117.131,48062.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1198742,Apr 13,23:39:29,NULL,NULL,NULL,Connection closed,IP,NULL
1199777,Apr 13,23:47:39,NULL,NULL,NULL,Connection closed,IP,NULL
1204420,Apr 14,00:24:34,139.19.117.131,34722.0,admin,Dictionary Attack,NULL,"Germany, Saarland, Saarbrücken, Mitte, MPII"
1205947,Apr 14,00:36:42,NULL,NULL,NULL,Connection closed,IP,NULL
1206059,Apr 14,00:37:33,NULL,NULL,NULL,Connection closed,IP,NULL
